schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,AI Product Index,https://github.com/superagent-ai/superagent,superagent-ai,PAID,2026-09-03T10:29:42.204456Z
1.0,PRODUCT,AI Product Index,https://github.com/julep-ai/julep,julep-ai,FREE,2026-09-03T10:29:42.204466Z
1.0,PRODUCT,AI Product Index,https://github.com/BlockRunAI/ClawRouter,BlockRunAI,FREE,2026-09-03T10:29:42.204473Z
1.0,PRODUCT,AI Product Index,https://github.com/airweave-ai/airweave,airweave-ai,FREE,2026-09-03T10:29:42.204480Z
1.0,PRODUCT,AI Product Index,https://github.com/antvis/Infographic,antvis,FREE,2026-09-03T10:29:42.204490Z
1.0,PRODUCT,AI Product Index,https://github.com/genkit-ai/genkit,genkit-ai,PAID,2026-09-03T10:29:42.204495Z
1.0,PRODUCT,AI Product Index,https://github.com/lavague-ai/LaVague,lavague-ai,FREE,2026-09-03T10:29:42.204502Z
1.0,PRODUCT,AI Product Index,https://github.com/e2b-dev/fragments,e2b-dev,FREE,2026-09-03T10:29:42.204509Z
1.0,PRODUCT,AI Product Index,https://github.com/PrefectHQ/marvin,PrefectHQ,FREE,2026-09-03T10:29:42.204515Z
1.0,PRODUCT,AI Product Index,https://github.com/ikaijua/Awesome-AITools,ikaijua,FREE,2026-09-03T10:29:42.204526Z
1.0,PRODUCT,AI Product Index,https://github.com/rustformers/llm,rustformers,FREE,2026-09-03T10:29:42.204533Z
1.0,PRODUCT,AI Product Index,https://github.com/UfoMiao/zcf,UfoMiao,FREE,2026-09-03T10:29:42.204539Z
1.0,PRODUCT,AI Product Index,https://github.com/ashishps1/learn-ai-engineering,ashishps1,FREE,2026-09-03T10:29:42.204546Z
1.0,PRODUCT,AI Product Index,https://github.com/cactus-compute/cactus,cactus-compute,FREE,2026-09-03T10:29:42.204552Z
1.0,PRODUCT,AI Product Index,https://github.com/fengshao1227/ccg-workflow,fengshao1227,FREE,2026-09-03T10:29:42.204560Z
1.0,PRODUCT,AI Product Index,https://github.com/ModelEngine-Group/nexent,ModelEngine-Group,PAID,2026-09-03T10:29:42.204572Z
1.0,PRODUCT,AI Product Index,https://github.com/AgentOps-AI/agentops,AgentOps-AI,FREE,2026-09-03T10:29:42.204580Z
1.0,PRODUCT,AI Product Index,https://github.com/timescale/pgai,timescale,FREE,2026-09-03T10:29:42.204587Z
1.0,PRODUCT,AI Product Index,https://github.com/Klavis-AI/klavis,Klavis-AI,FREE,2026-09-03T10:29:42.204594Z
1.0,PRODUCT,AI Product Index,https://github.com/PySpur-Dev/pyspur,PySpur-Dev,FREE,2026-09-03T10:29:42.204600Z
1.0,PRODUCT,AI Product Index,https://github.com/lemonade-sdk/lemonade,lemonade-sdk,FREE,2026-09-03T10:29:42.204608Z
1.0,PRODUCT,AI Product Index,https://github.com/generalaction/emdash,generalaction,PAID,2026-09-03T10:29:42.204616Z
1.0,PRODUCT,AI Product Index,https://github.com/zenml-io/zenml,zenml-io,FREE,2026-09-03T10:29:42.204625Z
1.0,PRODUCT,AI Product Index,https://github.com/iflytek/astron-rpa,iflytek,ENTERPRISE,2026-09-03T10:29:42.204630Z
1.0,PRODUCT,AI Product Index,https://github.com/BIT-DataLab/Edit-Banana,BIT-DataLab,FREE,2026-09-03T10:29:42.204647Z
1.0,PRODUCT,AI Product Index,https://github.com/PurpleAILAB/Decepticon,PurpleAILAB,FREE,2026-09-03T10:29:42.204653Z
1.0,PRODUCT,AI Product Index,https://github.com/agentscope-ai/agentscope-java,agentscope-ai,PAID,2026-09-03T10:29:42.204658Z
1.0,PRODUCT,AI Product Index,https://github.com/TaskingAI/TaskingAI,TaskingAI,FREE,2026-09-03T10:29:42.204665Z
1.0,PRODUCT,AI Product Index,https://github.com/winfunc/deepreasoning,winfunc,FREE,2026-09-03T10:29:42.204672Z
1.0,PRODUCT,AI Product Index,https://github.com/FunnyWolf/Viper,FunnyWolf,FREE,2026-09-03T10:29:42.204678Z
1.0,PRODUCT,AI Product Index,https://github.com/h2oai/h2o-llmstudio,h2oai,FREE,2026-09-03T10:29:42.204685Z
1.0,PRODUCT,AI Product Index,https://github.com/looplj/axonhub,looplj,FREE,2026-09-03T10:29:42.204694Z
1.0,PRODUCT,AI Product Index,https://github.com/hiyouga/EasyR1,hiyouga,FREE,2026-09-03T10:29:42.204701Z
1.0,PRODUCT,AI Product Index,https://github.com/rasbt/reasoning-from-scratch,rasbt,FREE,2026-09-03T10:29:42.204707Z
1.0,PRODUCT,AI Product Index,https://github.com/MCP-UI-Org/mcp-ui,MCP-UI-Org,PAID,2026-09-03T10:29:42.204713Z
1.0,PRODUCT,AI Product Index,https://github.com/OpenBMB/AgentVerse,OpenBMB,PAID,2026-09-03T10:29:42.204722Z
1.0,PRODUCT,AI Product Index,https://github.com/argilla-io/argilla,argilla-io,FREE,2026-09-03T10:29:42.204729Z
1.0,PRODUCT,AI Product Index,https://github.com/huggingface/text-embeddings-inference,huggingface,FREE,2026-09-03T10:29:42.204736Z
1.0,PRODUCT,AI Product Index,https://github.com/dtyq/magic,dtyq,PAID,2026-09-03T10:29:42.204741Z
1.0,PRODUCT,AI Product Index,https://github.com/mock-server/mockserver-monorepo,mock-server,PAID,2026-09-03T10:29:42.204748Z
1.0,PRODUCT,AI Product Index,https://github.com/campfirein/byterover-cli,campfirein,FREE,2026-09-03T10:29:42.204755Z
1.0,PRODUCT,AI Product Index,https://github.com/vitali87/code-graph-rag,vitali87,FREE,2026-09-03T10:29:42.204762Z
1.0,PRODUCT,AI Product Index,https://github.com/ag2ai/ag2,ag2ai,FREE,2026-09-03T10:29:42.204769Z
1.0,PRODUCT,AI Product Index,https://github.com/getzep/zep,getzep,FREE,2026-09-03T10:29:42.204775Z
1.0,PRODUCT,AI Product Index,https://github.com/aipotheosis-labs/aci,aipotheosis-labs,FREE,2026-09-03T10:29:42.204783Z
1.0,PRODUCT,AI Product Index,https://github.com/changyeyu/LLM-RL-Visualized,changyeyu,FREE,2026-09-03T10:29:42.204792Z
1.0,PRODUCT,AI Product Index,https://github.com/ParisNeo/lollms-webui,ParisNeo,FREE,2026-09-03T10:29:42.204799Z
1.0,PRODUCT,AI Product Index,https://github.com/origin-brain/beat-ai,origin-brain,FREE,2026-09-03T10:29:42.204810Z
1.0,PRODUCT,AI Product Index,https://github.com/Ironclad/rivet,Ironclad,PAID,2026-09-03T10:29:42.204815Z
1.0,PRODUCT,AI Product Index,https://github.com/alvinreal/awesome-opensource-ai,alvinreal,PAID,2026-09-03T10:29:42.204821Z
1.0,PRODUCT,AI Product Index,https://github.com/homeassistant-ai/ha-mcp,homeassistant-ai,FREE,2026-09-03T10:29:42.204827Z
1.0,PRODUCT,AI Product Index,https://github.com/apache/maka,apache,FREE,2026-09-03T10:29:42.204835Z
1.0,PRODUCT,AI Product Index,https://github.com/ruc-datalab/DeepAnalyze,ruc-datalab,FREE,2026-09-03T10:29:42.204844Z
1.0,PRODUCT,AI Product Index,https://github.com/fixie-ai/ultravox,fixie-ai,FREE,2026-09-03T10:29:42.204851Z
1.0,PRODUCT,AI Product Index,https://github.com/JetBrains/koog,JetBrains,ENTERPRISE,2026-09-03T10:29:42.204860Z
1.0,PRODUCT,AI Product Index,https://github.com/luban-agi/Awesome-AIGC-Tutorials,luban-agi,FREE,2026-09-03T10:29:42.204867Z
1.0,PRODUCT,AI Product Index,https://github.com/CaviraOSS/LongMemory,CaviraOSS,FREE,2026-09-03T10:29:42.204874Z
1.0,PRODUCT,AI Product Index,https://github.com/rivet-dev/agentos,rivet-dev,ENTERPRISE,2026-09-03T10:29:42.204909Z
1.0,PRODUCT,AI Product Index,https://github.com/VectifyAI/OpenKB,VectifyAI,FREE,2026-09-03T10:29:42.204915Z
1.0,PRODUCT,AI Product Index,https://github.com/truefoundry/cognita,truefoundry,PAID,2026-09-03T10:29:42.204921Z
1.0,PRODUCT,AI Product Index,https://github.com/daveebbelaar/ai-cookbook,daveebbelaar,FREE,2026-09-03T10:29:42.204928Z
1.0,PRODUCT,AI Product Index,https://github.com/llm-d/llm-d,llm-d,FREE,2026-09-03T10:29:42.204935Z
1.0,PRODUCT,AI Product Index,https://github.com/crmne/ruby_llm,crmne,PAID,2026-09-03T10:29:42.204941Z
1.0,PRODUCT,AI Product Index,https://github.com/cs-lazy-tools/ChatGPT-On-CS,cs-lazy-tools,FREE,2026-09-03T10:29:42.204950Z
1.0,PRODUCT,AI Product Index,https://github.com/StructuredLabs/preswald,StructuredLabs,FREE,2026-09-03T10:29:42.204959Z
1.0,PRODUCT,AI Product Index,https://github.com/SylphAI-Inc/AdalFlow,SylphAI-Inc,FREE,2026-09-03T10:29:42.204966Z
1.0,PRODUCT,AI Product Index,https://github.com/bragai/bRAG-langchain,bragai,FREE,2026-09-03T10:29:46.889888Z
1.0,PRODUCT,AI Product Index,https://github.com/haris-musa/excel-mcp-server,haris-musa,PAID,2026-09-03T10:29:46.889908Z
1.0,PRODUCT,AI Product Index,https://github.com/OpenCSGs/csghub,OpenCSGs,ENTERPRISE,2026-09-03T10:29:46.889924Z
1.0,PRODUCT,AI Product Index,https://github.com/langroid/langroid,langroid,PAID,2026-09-03T10:29:46.889930Z
1.0,PRODUCT,AI Product Index,https://github.com/IvanMurzak/Unity-MCP,IvanMurzak,FREE,2026-09-03T10:29:46.889940Z
1.0,PRODUCT,AI Product Index,https://github.com/openagents-org/openagents,openagents-org,FREE,2026-09-03T10:29:46.889947Z
1.0,PRODUCT,AI Product Index,https://github.com/UditAkhourii/adhd,UditAkhourii,FREE,2026-09-03T10:29:46.889962Z
1.0,PRODUCT,AI Product Index,https://github.com/walkinglabs/awesome-harness-engineering,walkinglabs,FREE,2026-09-03T10:29:46.897590Z
1.0,PRODUCT,AI Product Index,https://github.com/lemony-ai/cascadeflow,lemony-ai,FREE,2026-09-03T10:29:46.897626Z
1.0,PRODUCT,AI Product Index,https://github.com/yifanfeng97/Hyper-Extract,yifanfeng97,FREE,2026-09-03T10:29:46.897649Z
1.0,PRODUCT,AI Product Index,https://github.com/matt1398/claude-devtools,matt1398,FREE,2026-09-03T10:29:46.897664Z
